"","Year","Season"," State"," Total Annual Loss"," Beekeepers"," Beekeepers Exclusive to State"," Colonies"," Colonies Exclusive to State"
"1","2016/17","Annual","Massachusetts",0.159,87,0.943,27186,0.023
"2","2016/17","Annual","Montana",0.171,21,0.524,35905,0.003
"3","2016/17","Annual","Nevada",0.23,13,0.923,2512,0.052
"4","2016/17","Annual","Maine",0.233,65,0.938,41102,0.014
"5","2016/17","Annual","Wyoming",0.234,18,0.778,6521,0.014
"6","2016/17","Annual","Hawaii",0.262,10,1,84,1
"7","2016/17","Annual","Mississippi",0.263,9,0.222,17802,0.002
"8","2016/17","Annual","West Virginia",0.266,52,0.942,993,0.798
"9","2016/17","Annual","Idaho",0.273,30,0.833,76794,0.019
"10","2016/17","Annual","Florida",0.292,62,0.823,95872,0.042
"11","2016/17","Annual","Wisconsin",0.294,99,0.939,15800,0.101
"12","2016/17","Annual","North Carolina",0.299,206,0.956,7246,0.213
"13","2016/17","Annual","California",0.305,163,0.632,383369,0.201
"14","2016/17","Annual","Georgia",0.305,81,0.877,38443,0.082
"15","2016/17","Annual","MultiStateOperation",0.318,126,0,345567,0
"16","2016/17","Annual","South Dakota",0.322,12,0.5,29626,0.004
"17","2016/17","Annual","Oregon",0.324,137,0.934,35433,0.024
"18","2016/17","Annual","Michigan",0.326,138,0.964,14949,0.123
"19","2016/17","Annual","Missouri",0.336,88,0.966,1177,0.936
"20","2016/17","Annual","Texas",0.349,136,0.927,60699,0.09
"21","2016/17","Annual","Alabama",0.349,38,0.974,573,0.975
"22","2016/17","Annual","New Mexico",0.354,19,0.947,359,0.298
"23","2016/17","Annual","Louisiana",0.361,18,0.889,5970,0.112
"24","2016/17","Annual","North Dakota",0.378,17,0.118,163861,0
"25","2016/17","Annual","District of Columbia",0.387,20,0.9,106,0.809
"26","2016/17","Annual","Ohio",0.39,233,0.978,2717,0.895
"27","2016/17","Annual","Washington",0.397,89,0.899,85387,0.01
"28","2016/17","Annual","Arkansas",0.397,32,0.906,3183,0.153
"29","2016/17","Annual","Kentucky",0.405,50,0.94,3603,0.278
"30","2016/17","Annual","Indiana",0.414,99,1,952,1
"31","2016/17","Annual","New Jersey",0.414,74,0.932,4143,0.152
"32","2016/17","Annual","New York",0.438,143,0.923,29782,0.141
"33","2016/17","Annual","Virginia",0.441,371,0.97,3263,0.948
"34","2016/17","Annual","Rhode Island",0.447,15,0.8,76,0.571
"35","2016/17","Annual","Kansas",0.477,16,0.938,23181,0.009
"36","2016/17","Annual","Colorado",0.483,90,0.956,669,0.951
"37","2016/17","Annual","Vermont",0.485,43,0.93,2050,0.834
"38","2016/17","Annual","Tennessee",0.49,57,1,1199,1
"39","2016/17","Annual","Minnesota",0.494,79,0.873,27486,0.069
"40","2016/17","Annual","Pennsylvania",0.516,581,0.976,15517,0.403
"41","2016/17","Annual","Utah",0.532,167,0.97,3302,0.363
"42","2016/17","Annual","South Carolina",0.538,53,0.943,6246,0.142
"43","2016/17","Annual","Maryland",0.55,127,0.905,5582,0.325
"44","2016/17","Annual","Illinois",0.59,94,0.979,906,0.996
"45","2016/17","Annual","New Hampshire",0.604,49,0.939,757,0.499
"46","2016/17","Annual","Connecticut",0.618,34,1,427,1
"47","2016/17","Annual","Arizona",0.65,10,0.8,528,0.244
"48","2016/17","Annual","Iowa",0.686,71,0.986,1074,0.99
"49","2016/17","Annual","Nebraska",0.721,15,0.933,355,0.833
"50","2016/17","Annual","Delaware",0.74,38,0.868,462,0.842
"51","2016/17","Annual","Oklahoma",0.839,29,0.965,9513,0.193
"52","2015/16","Annual","Louisiana",0.147,21,1,695,1
"53","2015/16","Annual","Vermont",0.155,48,0.875,2374,0.487
"54","2015/16","Annual","Montana",0.189,17,0.353,46949,0.002
"55","2015/16","Annual","Rhode Island",0.245,19,0.842,94,0.764
"56","2015/16","Annual","Tennessee",0.274,98,0.969,1247,0.92
"57","2015/16","Annual","Colorado",0.278,130,0.969,3396,0.192
"58","2015/16","Annual","District of Columbia",0.284,6,0.667,127,0.119
"59","2015/16","Annual","Alabama",0.284,43,0.977,538,0.964
"60","2015/16","Annual","Washington",0.317,118,0.932,38574,0.028
"61","2015/16","Annual","Missouri",0.332,120,0.983,993,0.972
"62","2015/16","Annual","South Carolina",0.336,97,0.969,2510,0.298
"63","2015/16","Annual","Kentucky",0.345,71,0.986,829,0.997
"64","2015/16","Annual","New Hampshire",0.361,48,0.896,305,0.859
"65","2015/16","Annual","Maine",0.366,81,0.963,54707,0.013
"66","2015/16","Annual","North Carolina",0.38,246,0.972,10635,0.221
"67","2015/16","Annual","Hawaii",0.382,45,0.978,3656,0.998
"68","2015/16","Annual","Idaho",0.382,45,0.622,141902,0.012
"69","2015/16","Annual","Wyoming",0.383,26,0.692,26403,0.019
"70","2015/16","Annual","Oregon",0.386,132,0.909,42656,0.221
"71","2015/16","Annual","Indiana",0.395,152,0.987,1707,0.985
"72","2015/16","Annual","California",0.397,182,0.632,485133,0.063
"73","2015/16","Annual","MultiStateOperation",0.398,143,0,506729,0
"74","2015/16","Annual","Nebraska",0.4,16,0.813,42030,0.005
"75","2015/16","Annual","Nevada",0.401,5,0.8,3029,0.006
"76","2015/16","Annual","Arizona",0.405,6,1,37,1
"77","2015/16","Annual","Georgia",0.414,65,0.923,3034,0.306
"78","2015/16","Annual","Virginia",0.414,553,0.978,4163,0.872
"79","2015/16","Annual","North Dakota",0.425,26,0.115,284204,0
"80","2015/16","Annual","Ohio",0.431,236,0.975,2797,0.962
"81","2015/16","Annual","South Dakota",0.442,13,0.385,92609,0.001
"82","2015/16","Annual","Connecticut",0.444,66,0.939,865,0.963
"83","2015/16","Annual","Texas",0.458,95,0.8,187895,0.013
"84","2015/16","Annual","Michigan",0.46,195,0.985,6572,0.308
"85","2015/16","Annual","Illinois",0.462,127,0.968,1318,0.974
"86","2015/16","Annual","New York",0.467,145,0.924,39981,0.069
"87","2015/16","Annual","Minnesota",0.493,109,0.89,53969,0.06
"88","2015/16","Annual","West Virginia",0.498,55,0.909,1433,0.463
"89","2015/16","Annual","Arkansas",0.505,36,0.917,2020,0.204
"90","2015/16","Annual","Wisconsin",0.508,121,0.95,39422,0.192
"91","2015/16","Annual","New Jersey",0.536,112,0.902,9220,0.112
"92","2015/16","Annual","New Mexico",0.54,17,0.882,148,0.922
"93","2015/16","Annual","Massachusetts",0.558,113,0.956,1304,0.968
"94","2015/16","Annual","Maryland",0.561,128,0.93,30617,0.097
"95","2015/16","Annual","Kansas",0.567,32,0.969,8737,0.128
"96","2015/16","Annual","Florida",0.569,58,0.897,51627,0.185
"97","2015/16","Annual","Pennsylvania",0.573,599,0.983,29963,0.192
"98","2015/16","Annual","Oklahoma",0.578,38,0.974,7307,0.244
"99","2015/16","Annual","Iowa",0.588,48,0.958,1256,0.64
"100","2015/16","Annual","Utah",0.594,38,0.868,15873,0.028
"101","2015/16","Annual","Delaware",0.602,21,0.762,25674,0.006
"102","2015/16","Annual","Mississippi",0.713,12,0.667,22399,0.003
"103","2015/16","Annual","Puerto Rico",NA,1,1,1,1
"104","2015/16","Annual","Alaska",NA,2,1,7,1
"105","2014/15","Annual","Hawaii",0.139,28,1,12093,1
"106","2014/15","Annual","Oregon",0.252,142,0.944,44306,0.293
"107","2014/15","Annual","South Carolina",0.262,71,0.887,2853,0.203
"108","2014/15","Annual","Nevada",0.267,7,0.714,1853,0.019
"109","2014/15","Annual","Idaho",0.276,48,0.708,94547,0.002
"110","2014/15","Annual","Michigan",0.318,210,0.981,11192,0.929
